Team,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARI,1,0,0,0,0,1,1,0,0,0
ATL,0,1,1,1,0,0,0,1,1,0
BAL,1,1,1,1,0,1,0,0,0,1
BUF,0,0,0,0,0,0,0,0,1,0
CAR,0,0,0,0,1,1,1,0,1,0
CHI,0,1,0,0,0,0,0,0,0,1
CIN,1,0,1,1,1,1,1,0,0,0
CLE,0,0,0,0,0,0,0,0,0,0
DAL,1,0,0,0,0,1,0,1,0,1
DEN,0,0,1,1,1,1,1,0,0,0
DET,0,0,1,0,0,1,0,1,0,0
GB,1,1,1,1,1,1,1,1,0,0
HOU,0,0,1,1,0,0,1,1,0,1
IND,1,1,0,1,1,1,0,0,0,1
JAX,0,0,0,0,0,0,0,0,1,0
KC,0,1,0,0,1,0,1,1,1,1
LA,0,0,0,0,0,0,0,0,1,1
LAC,1,0,0,0,1,0,0,0,0,1
MIA,0,0,0,0,0,0,0,1,0,0
MIN,1,0,0,1,0,0,1,0,1,0
NE,1,1,1,1,1,1,1,1,1,1
NO,1,1,1,0,1,0,0,0,1,1
NYG,0,0,1,0,0,0,0,1,0,0
NYJ,1,1,0,0,0,0,0,0,0,0
OAK,0,0,0,0,0,0,0,1,0,0
PHI,1,1,0,0,1,0,0,0,1,1
PIT,0,1,1,0,0,1,1,1,1,0
SEA,0,1,0,1,1,1,1,1,0,1
SF,0,0,1,1,1,0,0,0,0,0
TB,0,0,0,0,0,0,0,0,0,0
TEN,0,0,0,0,0,0,0,0,1,0
WAS,0,0,0,1,0,0,1,0,0,0
